,City Name,Current Temp,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind,Country,Date
160,banjarmasin,89.6,-3.3244,114.591,89.6,55,20,2.3,ID,1619926634
161,morant bay,75.96,17.8815,-76.4093,80.6,74,20,5.75,JM,1619926635
162,isangel,78.8,-19.55,169.2667,78.8,78,90,18.7,VU,1619926635
163,bambous virieux,75.09,-20.3428,57.7575,77.0,94,40,2.3,MU,1619926635
164,san cristobal,75.2,7.7669,-72.225,75.2,100,75,2.3,VE,1619926636
165,north bend,52.88,43.4065,-124.2243,53.6,82,20,10.36,US,1619926637
166,klaksvik,35.6,62.2266,-6.589,35.6,80,20,4.61,FO,1619926637
167,porirua,58.03,-41.1333,174.85,59.0,80,4,4.0,NZ,1619926633
168,srem,45.66,52.0887,17.0151,46.0,79,100,27.0,PL,1619926639
169,gobo,60.8,33.8833,135.15,60.8,44,75,8.05,JP,1619926640
170,campbell river,52.47,50.0163,-125.2446,53.6,54,75,8.05,CA,1619926640
171,upington,53.6,-28.4478,21.2561,53.6,71,0,4.61,ZA,1619926642
172,clyde river,12.2,70.4692,-68.5914,12.2,92,75,3.44,CA,1619926581
173,tacna,60.8,-18.0056,-70.2483,60.8,67,0,6.91,PE,1619926643
174,hacienda heights,60.42,33.9931,-117.9687,62.6,82,75,6.91,US,1619926643
175,kamenka,48.0,51.3223,42.7678,48.0,84,100,4.63,RU,1619926644
176,chapais,33.8,49.7834,-74.8492,33.8,93,90,13.8,CA,1619926364
177,hervey bay,75.52,-25.2986,152.8535,77.0,61,40,16.11,AU,1619926648
178,torbay,37.8,47.6666,-52.7314,39.0,93,90,20.71,CA,1619926649
179,najran,73.4,17.4924,44.1277,73.4,21,75,4.61,SA,1619926649
180,monster,42.8,52.0258,4.175,44.01,79,54,8.01,NL,1619926651
181,abha,63.45,18.2164,42.5053,64.4,45,0,2.15,SA,1619926651
182,saint george,76.98,37.1041,-113.5841,80.6,9,1,9.22,US,1619926652
183,port hueneme,57.25,34.1478,-119.1951,59.0,88,1,4.61,US,1619926652
184,pangai,80.6,-19.8,-174.35,80.6,69,75,17.27,TO,1619926653
185,marrakesh,55.4,31.6315,-8.0083,55.4,62,20,4.61,MA,1619926654
186,sinnai,55.96,39.3042,9.2036,57.99,87,0,4.61,IT,1619926656
187,uvalde,66.0,29.3669,-99.767,66.99,88,90,8.05,US,1619926656
188,kamaishi,50.0,39.2667,141.8833,50.0,93,75,9.22,JP,1619926629
189,saeby,38.05,57.3319,10.5225,39.2,87,90,3.44,DK,1619926657
190,erfurt,43.3,50.9833,11.0333,45.0,87,90,13.8,DE,1619926658
191,flinders,75.99,-34.5833,150.8552,75.99,65,100,4.0,AU,1619926659
192,florianopolis,71.08,-27.6146,-48.5012,73.99,94,75,1.14,BR,1619926381
193,faya,63.5,18.3851,42.4509,64.4,45,0,0.74,SA,1619926659
194,hamilton,61.79,39.1834,-84.5333,63.0,45,1,10.36,US,1619926646
195,paradise valley,86.85,33.5312,-111.9427,89.6,9,1,6.91,US,1619926660
196,alekseyevskaya,50.0,50.2896,42.1845,50.0,91,100,4.54,RU,1619926661
197,tysmenytsya,57.0,48.9022,24.8448,57.0,80,100,4.0,UA,1619926662
198,statesville,52.48,35.7826,-80.8873,55.4,58,1,4.05,US,1619926664
199,lumby,47.73,50.2498,-118.969,48.99,71,47,1.14,CA,1619926664
200,port macquarie,64.24,-31.4333,152.9167,64.4,94,40,4.61,AU,1619926534
201,broome,45.86,42.2506,-75.833,51.8,37,90,9.22,US,1619926665
202,saint anthony,70.88,45.0205,-93.218,77.0,28,1,5.75,US,1619926666
203,bonavista,38.05,48.6499,-53.1147,39.0,93,100,6.91,CA,1619926667
204,cartagena,80.6,10.3997,-75.5144,80.6,89,40,6.91,CO,1619926434
205,sabinov,53.01,49.1031,21.0988,55.0,85,100,2.46,SK,1619926668
206,forest acres,63.97,34.0193,-80.9898,66.2,55,1,7.14,US,1619926668
207,benito juarez,68.0,19.385,-99.165,68.0,40,75,11.5,MX,1619926669
208,grand gaube,77.0,-20.0064,57.6608,77.0,87,13,3.0,MU,1619926669
209,watertown,50.68,42.3709,-71.1828,54.0,40,75,4.61,US,1619926378
210,makakilo city,77.7,21.3469,-158.0858,80.6,73,90,9.22,US,1619926671
211,landau,46.99,49.2075,8.1133,46.99,65,100,4.54,DE,1619926671
212,abbeville,33.42,50.1,1.8333,37.99,84,13,0.72,FR,1619926672
213,bathsheba,78.8,13.2167,-59.5167,78.8,61,20,13.8,BB,1619926672
214,werneck,41.7,49.9833,10.1,43.0,94,100,4.43,DE,1619926673
215,senneterre,33.8,48.3835,-77.2328,33.8,100,90,10.36,CA,1619926674
216,iquitos,71.6,-3.7481,-73.2472,71.6,94,20,1.41,PE,1619926675
